Date,Open,High,Low,Close,Adj Close,Volume
16-01-2024,378.359985,385.01001,374.320007,380.450012,377.772919,3926600
17-01-2024,375.200012,380.200012,374.130005,377.179993,374.525909,2415100
18-01-2024,380.329987,381.640015,374.559998,376.910004,374.257813,1771200
19-01-2024,376.730011,383.299988,372.070007,382.200012,379.51059,2598700
22-01-2024,386.359985,392.730011,384.559998,385.959991,383.24411,2922700
23-01-2024,379.980011,383.359985,378.630005,380.769989,378.090637,3313300
24-01-2024,381.809998,384.609985,379.179993,379.399994,376.730286,2235800
25-01-2024,382.690002,386.709991,382.01001,382.700012,380.00708,2376300
26-01-2024,378.649994,380.899994,376.75,377.790009,375.131622,3464700
29-01-2024,375.890015,380.839996,374.23999,380.559998,377.882111,1632300
30-01-2024,384,387.920013,381.589996,386.869995,384.147705,3897900
31-01-2024,386,393.910004,383.700012,384.01001,381.307861,3421100
01-02-2024,384.429993,389.540009,378.799988,383.850006,381.148987,2138500
02-02-2024,381.799988,388.73999,380.600006,387.859985,385.130737,2180900
05-02-2024,384.600006,385.329987,381,383.019989,380.324799,2231100
06-02-2024,383.019989,386.820007,383,384.98999,382.280945,1487800
07-02-2024,385.309998,387.070007,382.5,386.660004,383.939209,1963200
08-02-2024,386,388.109985,381.339996,385.040009,382.330597,1913700
09-02-2024,384.769989,386.130005,382.589996,384.26001,381.556091,2028200
12-02-2024,385,396.350006,384.320007,392.640015,389.877136,2797200
13-02-2024,387.589996,389.160004,375.200012,378.75,376.084869,3030800
14-02-2024,380.880005,381.480011,375.779999,378.040009,375.379852,2041300
15-02-2024,379.420013,387.209991,379.140015,385.420013,382.707947,2218900
16-02-2024,383.23999,387.579987,380.950012,384.440002,381.734833,2376500
20-02-2024,380.950012,385.579987,380.850006,384.519989,381.81424,2358900
21-02-2024,381.839996,388.660004,381.26001,388.269989,385.537842,1773100
22-02-2024,389.230011,395.600006,389,390.470001,387.722382,2326800
23-02-2024,390,396.790009,389.209991,391.049988,388.298279,2247400
26-02-2024,391.049988,396.059998,388.820007,390.220001,387.474152,1797800
27-02-2024,392.26001,395.899994,389.329987,390.809998,388.059998,1724900
28-02-2024,387.190002,393.26001,387,393.179993,393.179993,2572900
29-02-2024,395.220001,395.980011,385.670013,389.049988,389.049988,3139100
01-03-2024,389.630005,391.040009,385.25,388.100006,388.100006,1697700
04-03-2024,388.809998,396.570007,386.200012,392.25,392.25,1955100
05-03-2024,390.720001,397.48999,390.309998,390.910004,390.910004,2697800
06-03-2024,395,395.290009,384.519989,389.570007,389.570007,2692400
07-03-2024,391.899994,394.51001,387.059998,388.429993,388.429993,2033100
08-03-2024,388.730011,395.619995,386.709991,386.98999,386.98999,1657200
11-03-2024,385.670013,386.410004,381.420013,386.160004,386.160004,1654200
12-03-2024,387.619995,389.130005,383.779999,388.179993,388.179993,1703900
13-03-2024,388.910004,395.25,388.179993,392.309998,392.309998,2370600
14-03-2024,394.429993,396.380005,385.450012,388.609985,388.609985,3029500
15-03-2024,388.869995,391.130005,386.399994,387.209991,387.209991,3763500
18-03-2024,388.649994,389.029999,383.410004,384.369995,384.369995,2069000
19-03-2024,384.070007,390.779999,383.709991,388.660004,388.660004,1858200
20-03-2024,386.359985,396.5,386,396.470001,396.470001,2157400
21-03-2024,399.769989,414.019989,399.089996,413.709991,413.709991,4613800
22-03-2024,414.399994,416.76001,405.779999,406.820007,406.820007,2189600
25-03-2024,406.869995,410.459991,403.859985,404.940002,404.940002,1683900
26-03-2024,406.089996,409.329987,404.519989,406.179993,406.179993,1407000
27-03-2024,409.619995,415.48999,408.369995,415.25,415.25,2353600
28-03-2024,416.209991,419.200012,414.980011,417.690002,417.690002,2409700
